home,away,area,scoreHome,scoreAway
Libia,Togo,africa,2,0
Costa Rica,México,nccamerica,0,2
Guatemala,Antigua y Barbuda,nccamerica,3,1
Canadá,Panamá,nccamerica,1,0
El Salvador,Guyana,nccamerica,2,2
Jamaica,EEUU,nccamerica,2,1
Cuba,Honduras,nccamerica,0,3
Panamá,Cuba,nccamerica,1,0
Guyana,Costa Rica,nccamerica,0,4
Guatemala,EEUU,nccamerica,1,1
Canadá,Honduras,nccamerica,0,0
Colombia,Uruguay,southamerica,4,0
Ecuador,Colombia,southamerica,1,0
Uruguay,Perú,southamerica,4,2
Venezuela,Chile,southamerica,0,2
Bolivia,Paraguay,southamerica,3,1
Perú,Colombia,southamerica,0,1
Argentina,Ecuador,southamerica,4,0
Bolivia,Chile,southamerica,0,2
Uruguay,Venezuela,southamerica,1,1
Venezuela,Bolivia,southamerica,1,0
Namibia,Nigeria,africa,1,1
Malaui,Kenia,africa,2,2
Mali,Ruanda,africa,1,1
Guinea,Mozambique,africa,6,1
Benín,Argelia,africa,1,3
Níger,Burkina Faso,africa,0,1
Zimbabue,Egipto,africa,2,4
Marruecos,Tanzania,africa,2,1
Gambia,Costa de Marfil,africa,0,3
Sierra Leona,Túnez,africa,2,2
El Salvador,México,nccamerica,1,2
Antigua y Barbuda,Jamaica,nccamerica,0,0
Jamaica,Guatemala,nccamerica,2,1
Costa Rica,El Salvador,nccamerica,2,2
Honduras,Panamá,nccamerica,0,2
EEUU,Antigua y Barbuda,nccamerica,3,1
México,Guyana,nccamerica,3,1
Cuba,Canadá,nccamerica,0,1
Panamá,Dominica,nccamerica,3,0
Curazao,Islas Vírgenes Estadounidenses,nccamerica,6,1
Chile,Paraguay,southamerica,2,0
Colombia,Argentina,southamerica,1,2
Ecuador,Perú,southamerica,2,0
Paraguay,Ecuador,southamerica,2,1
Uruguay,Chile,southamerica,4,0
Colombia,Venezuela,southamerica,1,1
Argentina,Bolivia,southamerica,1,1
Venezuela,Argentina,southamerica,1,0
Chile,Perú,southamerica,4,2
Paraguay,Uruguay,southamerica,1,1
Uganda,Liberia,africa,1,0
Angola,Senegal,africa,1,1
Gabón,Congo,africa,0,0
Zambia,Lesoto,africa,4,0
República Centroafricana,Sudáfrica,africa,0,3
Sudán,Ghana,africa,1,3
Libia,RD del Congo,africa,0,0
Kenia,Nigeria,africa,0,1
Malaui,Namibia,africa,0,0
Argelia,Benín,africa,3,1
El Salvador,Surinam,nccamerica,4,0
Canadá,San Cristóbal y Nieves,nccamerica,4,0
San Vicente y las Granadinas,Belice,nccamerica,0,2
Granada,Guatemala,nccamerica,1,4
Haití,Antigua y Barbuda,nccamerica,2,1
Puerto Rico,Santa Lucía,nccamerica,3,0
Barbados,Bermudas,nccamerica,1,2
Islas Caimán,República Dominicana,nccamerica,1,1
Surinam,El Salvador,nccamerica,1,3
Bolivia,Colombia,southamerica,1,2
Perú,Paraguay,southamerica,2,0
Argentina,Chile,southamerica,4,1
Uruguay,Bolivia,southamerica,4,2
Ecuador,Venezuela,southamerica,2,0
Egipto,Zimbabue,africa,2,1
Liberia,Uganda,africa,2,0
Ghana,Sudán,africa,4,0
Etiopía,Botsuana,africa,1,0
RD del Congo,Libia,africa,0,0
Ruanda,Mali,africa,1,2
Mozambique,Guinea,africa,0,0
Lesoto,Zambia,africa,1,1
Tanzania,Marruecos,africa,3,1
Sudáfrica,República Centroafricana,africa,2,0
Guyana,Trinidad y Tobago,nccamerica,2,1
San Cristóbal y Nieves,Canadá,nccamerica,0,0
Guatemala,Granada,nccamerica,3,0
Antigua y Barbuda,Haití,nccamerica,1,0
Nicaragua,Dominica,nccamerica,1,0
Islas Vírgenes Estadounidenses,Curazao,nccamerica,0,3
Belice,San Vicente y las Granadinas,nccamerica,1,1
República Dominicana,Islas Caimán,nccamerica,4,0
Bermudas,Barbados,nccamerica,2,1
Granada,San Vicente y las Granadinas,nccamerica,1,1
Túnez,Sierra Leona,africa,2,1
Burkina Faso,Níger,africa,4,0
Namibia,Malaui,africa,0,1
Senegal,Angola,africa,1,1
Costa de Marfil,Gambia,africa,3,0
Nigeria,Kenia,africa,1,1
Camerún,Togo,africa,2,1
Congo,Gabón,africa,1,0
Mali,Argelia,africa,2,1
Guatemala,Belice,nccamerica,3,1
San Cristóbal y Nieves,Santa Lucía,nccamerica,1,1
Panamá,Nicaragua,nccamerica,5,1
Bermudas,Guyana,nccamerica,1,1
El Salvador,Islas Caimán,nccamerica,4,0
Canadá,Puerto Rico,nccamerica,0,0
Antigua y Barbuda,Islas Vírgenes Estadounidenses,nccamerica,10,0
Surinam,República Dominicana,nccamerica,1,3
Trinidad y Tobago,Barbados,nccamerica,4,0
Guinea,Egipto,africa,2,3
Libia,Camerún,africa,2,1
Tanzania,Gambia,africa,2,1
Liberia,Angola,africa,0,0
Etiopía,República Centroafricana,africa,2,0
Ruanda,Benín,africa,1,1
RD del Congo,Togo,africa,2,0
Mozambique,Zimbabue,africa,0,0
Lesoto,Sudán,africa,0,0
Haití,Curazao,nccamerica,2,2
